"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",1,"structural constituent of postsynaptic density (GO:0098919)",4843,11,537,11,Inf,NA,Inf,9.01862197392924,0.184738997603765,2.84197381685563e-11,6.70705820777928e-09,1,1,"9863, 1742, 1740, 1741, 1739, 50944, 22941, 85358, 1501, 9229, 4355"
"louvain",1,"postsynaptic density, intracellular component (GO:0099092)",4843,37,537,19,2.16766768176143,1.51657336628553,2.81876199723734,4.63118425688258,0.319094632224684,1.36382087950878e-09,1.60930863782036e-07,0.999999999853543,1,"6455, 1785, 4842, 1741, 9228, 6457, 1739, 10458, 1499, 2534, 85358, 9229, 2185, 56899, 8831, 6792, 23096, 9922, 392862"
"louvain",1,"integral component of postsynaptic membrane (GO:0099055)",4843,57,537,21,1.57426584000842,1.02838208148844,2.1201495985284,3.3226502009213,0.352683540879914,2.72435594917704e-07,2.1431600133526e-05,0.999999947042045,1,"3739, 3688, 10675, 3736, 2048, 3759, 23266, 2894, 2915, 2043, 491, 2550, 575, 1000, 1128, 348980, 3737, 4897, 3738, 9568, 3751"
"louvain",1,"integral component of postsynaptic density membrane (GO:0099061)",4843,53,537,19,1.52794059293083,0.959175987728574,2.09670519813308,3.23309089631425,0.319094632224684,1.6523939501268e-06,9.7491243057481e-05,0.999999665885814,1,"2066, 2903, 2904, 2906, 11122, 5803, 57554, 2895, 2894, 2902, 1948, 491, 1128, 8514, 81832, 4897, 57497, 80059, 26045"
"louvain",1,"modulation of chemical synaptic transmission (GO:0050804)",4843,71,537,22,1.31137522041211,0.800121840141432,1.82262860068278,2.79450258347103,0.369477995207529,4.19360604143084e-06,0.000197938205155536,0.999998941385599,1,"1759, 3688, 9228, 58512, 5335, 10458, 1009, 5786, 6774, 2534, 3190, 11252, 50944, 2915, 85358, 1000, 9229, 2047, 8831, 6792, 57497, 23096"
"louvain",1,"integral component of presynaptic membrane (GO:0099056)",4843,63,537,20,1.34421770011721,0.805932231952369,1.88250316828205,2.86305459489817,0.335889086552299,7.62578348627658e-06,0.000299947483793545,0.999998146989811,1,"3739, 2066, 3736, 2048, 774, 2903, 2904, 2906, 2902, 1948, 2043, 2550, 9378, 1000, 22859, 1128, 3737, 3738, 9568, 57101"
"louvain",1,"regulation of postsynapse organization (GO:0099175)",4843,37,537,14,1.60639062723656,0.935817481457283,2.27696377301583,3.41245155770295,0.23512236058661,1.94002243646947e-05,0.000654064707152565,0.999996449931144,1,"4670, 50807, 10458, 6453, 3190, 27316, 22941, 2894, 85358, 8976, 102, 6792, 4897, 57497"
"louvain",1,"postsynaptic density (GO:0014069)",4843,102,537,26,1.04095087957177,0.586278247381193,1.49562351176235,2.29886442472706,0.436655812517989,2.97362707446791e-05,0.000877219986968034,0.999990128999703,1,"1821, 5094, 9863, 5093, 815, 10006, 4670, 6774, 1982, 2059, 27316, 50944, 22941, 160622, 5062, 85358, 9456, 1501, 3188, 3187, 56899, 8777, 6129, 8525, 9758, 84435"
"louvain",1,"synaptic vesicle endocytosis (GO:0048488)",4843,31,537,11,1.49997096254019,0.758677431428062,2.24126449365232,3.20015618429747,0.184738997603765,0.000298081218560608,0.00781635195336704,0.999940816217726,1,"273, 1759, 1785, 58513, 29993, 6456, 274, 6453, 23513, 382, 85439"
"louvain",1,"voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)",4843,3,537,3,Inf,NA,Inf,9.01862197392924,0.0503833629828449,0.00135649600986116,0.0320133058327234,1,1,"3736, 3737, 3751"
"louvain",1,"synapse organization (GO:0050808)",4843,7,537,4,2.37622838112454,0.876550545551816,3.87590621669726,5.15349827081671,0.0671778173104599,0.00397638476608411,0.06256178698639,0.999714277722714,1,"2316, 322, 23607, 23266"
"louvain",1,"regulation of synapse disassembly (GO:1905806)",4843,7,537,4,2.37622838112454,0.876550545551816,3.87590621669726,5.15349827081671,0.0671778173104599,0.00397638476608411,0.06256178698639,0.999714277722714,1,"3688, 25791, 2043, 10154"
"louvain",1,"postsynaptic specialization, intracellular component (GO:0099091)",4843,7,537,4,2.37622838112454,0.876550545551816,3.87590621669726,5.15349827081671,0.0671778173104599,0.00397638476608411,0.06256178698639,0.999714277722714,1,"4842, 4067, 6714, 7525"
"louvain",1,"postsynaptic specialization assembly (GO:0098698)",4843,7,537,4,2.37622838112454,0.876550545551816,3.87590621669726,5.15349827081671,0.0671778173104599,0.00397638476608411,0.06256178698639,0.999714277722714,1,"1399, 1398, 22871, 57555"
"louvain",1,"regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037)",4843,7,537,4,2.37622838112454,0.876550545551816,3.87590621669726,5.15349827081671,0.0671778173104599,0.00397638476608411,0.06256178698639,0.999714277722714,1,"774, 9699, 22999, 23504"
"louvain",1,"presynaptic active zone cytoplasmic component (GO:0098831)",4843,16,537,6,1.57985199118077,0.563704587771452,2.59599939459009,3.38198324022346,0.10076672596569,0.0054568865889354,0.0804890771867972,0.999075597413778,1,"1499, 9699, 22999, 6812, 23504, 23096"
"louvain",1,"regulation of postsynaptic density assembly (GO:0099151)",4843,12,537,5,1.75302199053342,0.601833623759721,2.90421035730713,3.75775915580385,0.0839722716380748,0.00670215475179115,0.0930416777307477,0.999071292334698,1,"2895, 9378, 869, 2185, 26045"
"louvain",1,"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)",4843,13,537,5,1.61925795861508,0.498260695591433,2.74025522163872,3.46870075920355,0.0839722716380748,0.0099131940067095,0.115870215728011,0.998435508056078,1,"1742, 2066, 1740, 1739, 81832"
"louvain",1,"integral component of presynaptic active zone membrane (GO:0099059)",4843,29,537,8,1.12680650312999,0.307482476954852,1.94613052930514,2.487895716946,0.13435563462092,0.0112522420178969,0.115870215728011,0.996917688160985,1,"2904, 2906, 2902, 491, 2550, 9378, 3778, 348980"
"louvain",1,"presynaptic endocytic zone (GO:0098833)",4843,5,537,3,2.49236937098959,0.700883980069605,4.28385476190958,5.41117318435754,0.0503833629828449,0.0114189245843179,0.115870215728011,0.999317624604726,1,"273, 29993, 6453"
"louvain",1,"regulation of postsynaptic membrane potential (GO:0060078)",4843,5,537,3,2.49236937098959,0.700883980069605,4.28385476190958,5.41117318435754,0.0503833629828449,0.0114189245843179,0.115870215728011,0.999317624604726,1,"4842, 1128, 348980"
"louvain",1,"anchored component of postsynaptic density membrane (GO:0099031)",4843,5,537,3,2.49236937098959,0.700883980069605,4.28385476190958,5.41117318435754,0.0503833629828449,0.0114189245843179,0.115870215728011,0.999317624604726,1,"1742, 1740, 4355"
"louvain",1,"presynaptic dense core vesicle exocytosis (GO:0099525)",4843,9,537,4,1.86493785730368,0.547052925937815,3.18282278866955,4.00827643285744,0.0671778173104599,0.0119352987720066,0.115870215728011,0.998583491911931,1,"1759, 1785, 22999, 6812"
"louvain",1,"voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508)",4843,9,537,4,1.86493785730368,0.547052925937815,3.18282278866955,4.00827643285744,0.0671778173104599,0.0119352987720066,0.115870215728011,0.998583491911931,1,"3739, 3736, 23504, 3737"
"louvain",1,"maintenance of postsynaptic density structure (GO:0099562)",4843,2,537,2,Inf,NA,Inf,9.01862197392924,0.0335889086552299,0.0122743872593232,0.115870215728011,1,1,"382, 8525"
